"project","category","part_count","modeled_sheet_count","modeled_yield_pct","finished_part_area_sq_ft","unfilled_sheet_area_sq_ft","yield_band","template_url","worked_layout_url","cut_list_csv_url","sheet_size_in","kerf_in","rotation","benchmark_version","method"
"Base cabinet","Cabinets","6","1","73.551","23.5","8.5","High sheet use","https://woodcuttool.com/templates/base-cabinet-cut-list/","https://woodcuttool.com/examples/base-cabinet-cut-list/","https://woodcuttool.com/examples/data/base-cabinet-cut-list.csv","96 × 48","0.125","allowed","2026-07-21","woodcuttool-maxrects-v1"
"Wall cabinet","Cabinets","7","1","60.840","19.5","12.5","Balanced use","https://woodcuttool.com/templates/wall-cabinet-cut-list/","https://woodcuttool.com/examples/wall-cabinet-cut-list/","https://woodcuttool.com/examples/data/wall-cabinet-cut-list.csv","96 × 48","0.125","allowed","2026-07-21","woodcuttool-maxrects-v1"
"Bathroom vanity","Cabinets","6","1","58.260","18.6","13.4","Balanced use","https://woodcuttool.com/templates/bathroom-vanity-cut-list/","https://woodcuttool.com/examples/bathroom-vanity-cut-list/","https://woodcuttool.com/examples/data/bathroom-vanity-cut-list.csv","96 × 48","0.125","allowed","2026-07-21","woodcuttool-maxrects-v1"
"Under-bed drawers","Storage","12","1","72.830","23.3","8.7","High sheet use","https://woodcuttool.com/templates/under-bed-drawer-cut-list/","https://woodcuttool.com/examples/under-bed-drawers-cut-list/","https://woodcuttool.com/examples/data/under-bed-drawers-cut-list.csv","96 × 48","0.125","allowed","2026-07-21","woodcuttool-maxrects-v1"
"Coffee table","Furniture","6","1","72.493","23.2","8.8","High sheet use","https://woodcuttool.com/templates/coffee-table-cut-list/","https://woodcuttool.com/examples/coffee-table-cut-list/","https://woodcuttool.com/examples/data/coffee-table-cut-list.csv","96 × 48","0.125","allowed","2026-07-21","woodcuttool-maxrects-v1"
"Console table","Furniture","5","1","46.973","15.0","17.0","Balanced use","https://woodcuttool.com/templates/console-table-cut-list/","https://woodcuttool.com/examples/console-table-cut-list/","https://woodcuttool.com/examples/data/console-table-cut-list.csv","96 × 48","0.125","allowed","2026-07-21","woodcuttool-maxrects-v1"
"Folding craft table","Furniture","6","1","77.832","24.9","7.1","High sheet use","https://woodcuttool.com/templates/folding-craft-table-cut-list/","https://woodcuttool.com/examples/folding-craft-table-cut-list/","https://woodcuttool.com/examples/data/folding-craft-table-cut-list.csv","96 × 48","0.125","allowed","2026-07-21","woodcuttool-maxrects-v1"
"Kids table","Furniture","6","1","41.840","13.4","18.6","Balanced use","https://woodcuttool.com/templates/kids-table-cut-list/","https://woodcuttool.com/examples/kids-table-cut-list/","https://woodcuttool.com/examples/data/kids-table-cut-list.csv","96 × 48","0.125","allowed","2026-07-21","woodcuttool-maxrects-v1"
"French cleat tool wall","Shop","12","1","82.422","26.4","5.6","High sheet use","https://woodcuttool.com/templates/french-cleat-wall-cut-list/","https://woodcuttool.com/examples/french-cleat-wall-cut-list/","https://woodcuttool.com/examples/data/french-cleat-wall-cut-list.csv","96 × 48","0.125","allowed","2026-07-21","woodcuttool-maxrects-v1"
"Rolling utility cart","Shop","9","1","58.203","18.6","13.4","Balanced use","https://woodcuttool.com/templates/rolling-cart-cut-list/","https://woodcuttool.com/examples/rolling-cart-cut-list/","https://woodcuttool.com/examples/data/rolling-cart-cut-list.csv","96 × 48","0.125","allowed","2026-07-21","woodcuttool-maxrects-v1"
"Appliance garage","Cabinets","6","1","32.161","10.3","21.7","Large offcut","https://woodcuttool.com/templates/appliance-garage-cut-list/","https://woodcuttool.com/examples/appliance-garage-cut-list/","https://woodcuttool.com/examples/data/appliance-garage-cut-list.csv","96 × 48","0.125","allowed","2026-07-21","woodcuttool-maxrects-v1"
"Microwave shelf cabinet","Cabinets","8","1","60.596","19.4","12.6","Balanced use","https://woodcuttool.com/templates/microwave-shelf-cabinet-cut-list/","https://woodcuttool.com/examples/microwave-shelf-cabinet-cut-list/","https://woodcuttool.com/examples/data/microwave-shelf-cabinet-cut-list.csv","96 × 48","0.125","allowed","2026-07-21","woodcuttool-maxrects-v1"
"Sewing table","Furniture","6","1","78.711","25.2","6.8","High sheet use","https://woodcuttool.com/templates/sewing-table-cut-list/","https://woodcuttool.com/examples/sewing-table-cut-list/","https://woodcuttool.com/examples/data/sewing-table-cut-list.csv","96 × 48","0.125","allowed","2026-07-21","woodcuttool-maxrects-v1"
"Small parts drawer cabinet","Shop","10","1","74.072","23.7","8.3","High sheet use","https://woodcuttool.com/templates/small-parts-drawer-cabinet-cut-list/","https://woodcuttool.com/examples/small-parts-drawer-cabinet-cut-list/","https://woodcuttool.com/examples/data/small-parts-drawer-cabinet-cut-list.csv","96 × 48","0.125","allowed","2026-07-21","woodcuttool-maxrects-v1"
"Floating shelf","Storage","7","1","33.214","10.6","21.4","Large offcut","https://woodcuttool.com/templates/floating-shelf-cut-list/","https://woodcuttool.com/examples/floating-shelf-cut-list/","https://woodcuttool.com/examples/data/floating-shelf-cut-list.csv","96 × 48","0.125","allowed","2026-07-21","woodcuttool-maxrects-v1"
