"dataset_version","method","project_slug","project_name","category","part_count","requested_part_area_sq_in","placed_part_area_sq_in","trim_margin_each_edge_in","kerf_in","nominal_sheet_length_in","nominal_sheet_width_in","usable_sheet_length_in","usable_sheet_width_in","orientation_mode","estimated_sheets","usable_area_yield_pct","usable_area_waste_pct","rejected_piece_count","complete_layout","source_template_url"
"2026-07-21","woodcuttool-maxrects-v1","base-cabinet","Base cabinet","Cabinets","6","3389.3","3389.3","0","0","96","48","96","48","rotation_allowed","1","73.6","26.4","0","true","https://woodcuttool.com/templates/base-cabinet-cut-list/"
"2026-07-21","woodcuttool-maxrects-v1","base-cabinet","Base cabinet","Cabinets","6","3389.3","3389.3","0","0","96","48","96","48","orientation_locked","1","73.6","26.4","0","true","https://woodcuttool.com/templates/base-cabinet-cut-list/"
"2026-07-21","woodcuttool-maxrects-v1","base-cabinet","Base cabinet","Cabinets","6","3389.3","3389.3","0","0.03125","96","48","96","48","rotation_allowed","1","73.6","26.4","0","true","https://woodcuttool.com/templates/base-cabinet-cut-list/"
"2026-07-21","woodcuttool-maxrects-v1","base-cabinet","Base cabinet","Cabinets","6","3389.3","3389.3","0","0.03125","96","48","96","48","orientation_locked","1","73.6","26.4","0","true","https://woodcuttool.com/templates/base-cabinet-cut-list/"
"2026-07-21","woodcuttool-maxrects-v1","base-cabinet","Base cabinet","Cabinets","6","3389.3","3389.3","0","0.0625","96","48","96","48","rotation_allowed","1","73.6","26.4","0","true","https://woodcuttool.com/templates/base-cabinet-cut-list/"
"2026-07-21","woodcuttool-maxrects-v1","base-cabinet","Base cabinet","Cabinets","6","3389.3","3389.3","0","0.0625","96","48","96","48","orientation_locked","1","73.6","26.4","0","true","https://woodcuttool.com/templates/base-cabinet-cut-list/"
"2026-07-21","woodcuttool-maxrects-v1","base-cabinet","Base cabinet","Cabinets","6","3389.3","3389.3","0","0.09375","96","48","96","48","rotation_allowed","1","73.6","26.4","0","true","https://woodcuttool.com/templates/base-cabinet-cut-list/"
"2026-07-21","woodcuttool-maxrects-v1","base-cabinet","Base cabinet","Cabinets","6","3389.3","3389.3","0","0.09375","96","48","96","48","orientation_locked","1","73.6","26.4","0","true","https://woodcuttool.com/templates/base-cabinet-cut-list/"
"2026-07-21","woodcuttool-maxrects-v1","base-cabinet","Base cabinet","Cabinets","6","3389.3","3389.3","0","0.125","96","48","96","48","rotation_allowed","1","73.6","26.4","0","true","https://woodcuttool.com/templates/base-cabinet-cut-list/"
"2026-07-21","woodcuttool-maxrects-v1","base-cabinet","Base cabinet","Cabinets","6","3389.3","3389.3","0","0.125","96","48","96","48","orientation_locked","1","73.6","26.4","0","true","https://woodcuttool.com/templates/base-cabinet-cut-list/"
"2026-07-21","woodcuttool-maxrects-v1","base-cabinet","Base cabinet","Cabinets","6","3389.3","3389.3","0","0.1875","96","48","96","48","rotation_allowed","1","73.6","26.4","0","true","https://woodcuttool.com/templates/base-cabinet-cut-list/"
"2026-07-21","woodcuttool-maxrects-v1","base-cabinet","Base cabinet","Cabinets","6","3389.3","3389.3","0","0.1875","96","48","96","48","orientation_locked","1","73.6","26.4","0","true","https://woodcuttool.com/templates/base-cabinet-cut-list/"
"2026-07-21","woodcuttool-maxrects-v1","base-cabinet","Base cabinet","Cabinets","6","3389.3","3389.3","0","0.25","96","48","96","48","rotation_allowed","1","73.6","26.4","0","true","https://woodcuttool.com/templates/base-cabinet-cut-list/"
"2026-07-21","woodcuttool-maxrects-v1","base-cabinet","Base cabinet","Cabinets","6","3389.3","3389.3","0","0.25","96","48","96","48","orientation_locked","1","73.6","26.4","0","true","https://woodcuttool.com/templates/base-cabinet-cut-list/"
"2026-07-21","woodcuttool-maxrects-v1","base-cabinet","Base cabinet","Cabinets","6","3389.3","3389.3","0.125","0","96","48","95.75","47.75","rotation_allowed","1","74.1","25.9","0","true","https://woodcuttool.com/templates/base-cabinet-cut-list/"
"2026-07-21","woodcuttool-maxrects-v1","base-cabinet","Base cabinet","Cabinets","6","3389.3","3389.3","0.125","0","96","48","95.75","47.75","orientation_locked","1","74.1","25.9","0","true","https://woodcuttool.com/templates/base-cabinet-cut-list/"
"2026-07-21","woodcuttool-maxrects-v1","base-cabinet","Base cabinet","Cabinets","6","3389.3","3389.3","0.125","0.03125","96","48","95.75","47.75","rotation_allowed","1","74.1","25.9","0","true","https://woodcuttool.com/templates/base-cabinet-cut-list/"
"2026-07-21","woodcuttool-maxrects-v1","base-cabinet","Base cabinet","Cabinets","6","3389.3","3389.3","0.125","0.03125","96","48","95.75","47.75","orientation_locked","1","74.1","25.9","0","true","https://woodcuttool.com/templates/base-cabinet-cut-list/"
"2026-07-21","woodcuttool-maxrects-v1","base-cabinet","Base cabinet","Cabinets","6","3389.3","3389.3","0.125","0.0625","96","48","95.75","47.75","rotation_allowed","1","74.1","25.9","0","true","https://woodcuttool.com/templates/base-cabinet-cut-list/"
"2026-07-21","woodcuttool-maxrects-v1","base-cabinet","Base cabinet","Cabinets","6","3389.3","3389.3","0.125","0.0625","96","48","95.75","47.75","orientation_locked","1","74.1","25.9","0","true","https://woodcuttool.com/templates/base-cabinet-cut-list/"
"2026-07-21","woodcuttool-maxrects-v1","base-cabinet","Base cabinet","Cabinets","6","3389.3","3389.3","0.125","0.09375","96","48","95.75","47.75","rotation_allowed","1","74.1","25.9","0","true","https://woodcuttool.com/templates/base-cabinet-cut-list/"
"2026-07-21","woodcuttool-maxrects-v1","base-cabinet","Base cabinet","Cabinets","6","3389.3","3389.3","0.125","0.09375","96","48","95.75","47.75","orientation_locked","1","74.1","25.9","0","true","https://woodcuttool.com/templates/base-cabinet-cut-list/"
