"benchmark_version","method","project_slug","project_name","category","part_count","requested_part_area_sq_in","placed_part_area_sq_in","sheet_format","sheet_length_in","sheet_width_in","orientation_mode","estimated_sheets","yield_pct","waste_pct","rejected_piece_count","complete_layout","source_template_url"
"2026-07-21","woodcuttool-maxrects-v1","base-cabinet","Base cabinet","Cabinets","6","3389.3","3389.3","5x5","60","60","rotation_allowed","2","47.1","52.9","0","true","https://woodcuttool.com/templates/base-cabinet-cut-list/"
"2026-07-21","woodcuttool-maxrects-v1","base-cabinet","Base cabinet","Cabinets","6","3389.3","3389.3","5x5","60","60","orientation_locked","2","47.1","52.9","0","true","https://woodcuttool.com/templates/base-cabinet-cut-list/"
"2026-07-21","woodcuttool-maxrects-v1","base-cabinet","Base cabinet","Cabinets","6","3389.3","3389.3","4x8","96","48","rotation_allowed","1","73.6","26.4","0","true","https://woodcuttool.com/templates/base-cabinet-cut-list/"
"2026-07-21","woodcuttool-maxrects-v1","base-cabinet","Base cabinet","Cabinets","6","3389.3","3389.3","4x8","96","48","orientation_locked","1","73.6","26.4","0","true","https://woodcuttool.com/templates/base-cabinet-cut-list/"
"2026-07-21","woodcuttool-maxrects-v1","base-cabinet","Base cabinet","Cabinets","6","3389.3","3389.3","4x10","120","48","rotation_allowed","1","58.8","41.2","0","true","https://woodcuttool.com/templates/base-cabinet-cut-list/"
"2026-07-21","woodcuttool-maxrects-v1","base-cabinet","Base cabinet","Cabinets","6","3389.3","3389.3","4x10","120","48","orientation_locked","1","58.8","41.2","0","true","https://woodcuttool.com/templates/base-cabinet-cut-list/"
"2026-07-21","woodcuttool-maxrects-v1","base-cabinet","Base cabinet","Cabinets","6","3389.3","3389.3","5x10","120","60","rotation_allowed","1","47.1","52.9","0","true","https://woodcuttool.com/templates/base-cabinet-cut-list/"
"2026-07-21","woodcuttool-maxrects-v1","base-cabinet","Base cabinet","Cabinets","6","3389.3","3389.3","5x10","120","60","orientation_locked","1","47.1","52.9","0","true","https://woodcuttool.com/templates/base-cabinet-cut-list/"
"2026-07-21","woodcuttool-maxrects-v1","wall-cabinet","Wall cabinet","Cabinets","7","2803.5","2803.5","5x5","60","60","rotation_allowed","1","77.9","22.1","0","true","https://woodcuttool.com/templates/wall-cabinet-cut-list/"
"2026-07-21","woodcuttool-maxrects-v1","wall-cabinet","Wall cabinet","Cabinets","7","2803.5","2803.5","5x5","60","60","orientation_locked","2","38.9","61.1","0","true","https://woodcuttool.com/templates/wall-cabinet-cut-list/"
"2026-07-21","woodcuttool-maxrects-v1","wall-cabinet","Wall cabinet","Cabinets","7","2803.5","2803.5","4x8","96","48","rotation_allowed","1","60.8","39.2","0","true","https://woodcuttool.com/templates/wall-cabinet-cut-list/"
"2026-07-21","woodcuttool-maxrects-v1","wall-cabinet","Wall cabinet","Cabinets","7","2803.5","2803.5","4x8","96","48","orientation_locked","1","60.8","39.2","0","true","https://woodcuttool.com/templates/wall-cabinet-cut-list/"
"2026-07-21","woodcuttool-maxrects-v1","wall-cabinet","Wall cabinet","Cabinets","7","2803.5","2803.5","4x10","120","48","rotation_allowed","1","48.7","51.3","0","true","https://woodcuttool.com/templates/wall-cabinet-cut-list/"
"2026-07-21","woodcuttool-maxrects-v1","wall-cabinet","Wall cabinet","Cabinets","7","2803.5","2803.5","4x10","120","48","orientation_locked","1","48.7","51.3","0","true","https://woodcuttool.com/templates/wall-cabinet-cut-list/"
"2026-07-21","woodcuttool-maxrects-v1","wall-cabinet","Wall cabinet","Cabinets","7","2803.5","2803.5","5x10","120","60","rotation_allowed","1","38.9","61.1","0","true","https://woodcuttool.com/templates/wall-cabinet-cut-list/"
"2026-07-21","woodcuttool-maxrects-v1","wall-cabinet","Wall cabinet","Cabinets","7","2803.5","2803.5","5x10","120","60","orientation_locked","1","38.9","61.1","0","true","https://woodcuttool.com/templates/wall-cabinet-cut-list/"
"2026-07-21","woodcuttool-maxrects-v1","bathroom-vanity","Bathroom vanity","Cabinets","6","2684.6","2684.6","5x5","60","60","rotation_allowed","1","74.6","25.4","0","true","https://woodcuttool.com/templates/bathroom-vanity-cut-list/"
"2026-07-21","woodcuttool-maxrects-v1","bathroom-vanity","Bathroom vanity","Cabinets","6","2684.6","2684.6","5x5","60","60","orientation_locked","2","37.3","62.7","0","true","https://woodcuttool.com/templates/bathroom-vanity-cut-list/"
"2026-07-21","woodcuttool-maxrects-v1","bathroom-vanity","Bathroom vanity","Cabinets","6","2684.6","2684.6","4x8","96","48","rotation_allowed","1","58.3","41.7","0","true","https://woodcuttool.com/templates/bathroom-vanity-cut-list/"
"2026-07-21","woodcuttool-maxrects-v1","bathroom-vanity","Bathroom vanity","Cabinets","6","2684.6","2684.6","4x8","96","48","orientation_locked","1","58.3","41.7","0","true","https://woodcuttool.com/templates/bathroom-vanity-cut-list/"
"2026-07-21","woodcuttool-maxrects-v1","bathroom-vanity","Bathroom vanity","Cabinets","6","2684.6","2684.6","4x10","120","48","rotation_allowed","1","46.6","53.4","0","true","https://woodcuttool.com/templates/bathroom-vanity-cut-list/"
"2026-07-21","woodcuttool-maxrects-v1","bathroom-vanity","Bathroom vanity","Cabinets","6","2684.6","2684.6","4x10","120","48","orientation_locked","1","46.6","53.4","0","true","https://woodcuttool.com/templates/bathroom-vanity-cut-list/"
"2026-07-21","woodcuttool-maxrects-v1","bathroom-vanity","Bathroom vanity","Cabinets","6","2684.6","2684.6","5x10","120","60","rotation_allowed","1","37.3","62.7","0","true","https://woodcuttool.com/templates/bathroom-vanity-cut-list/"
"2026-07-21","woodcuttool-maxrects-v1","bathroom-vanity","Bathroom vanity","Cabinets","6","2684.6","2684.6","5x10","120","60","orientation_locked","1","37.3","62.7","0","true","https://woodcuttool.com/templates/bathroom-vanity-cut-list/"
"2026-07-21","woodcuttool-maxrects-v1","pantry-cabinet","Pantry cabinet","Cabinets","10","8144.3","2936.3","5x5","60","60","rotation_allowed","1","81.6","18.4","3","false","https://woodcuttool.com/templates/pantry-cabinet-cut-list/"
"2026-07-21","woodcuttool-maxrects-v1","pantry-cabinet","Pantry cabinet","Cabinets","10","8144.3","2936.3","5x5","60","60","orientation_locked","1","81.6","18.4","3","false","https://woodcuttool.com/templates/pantry-cabinet-cut-list/"
"2026-07-21","woodcuttool-maxrects-v1","pantry-cabinet","Pantry cabinet","Cabinets","10","8144.3","8144.3","4x8","96","48","rotation_allowed","3","58.9","41.1","0","true","https://woodcuttool.com/templates/pantry-cabinet-cut-list/"
"2026-07-21","woodcuttool-maxrects-v1","pantry-cabinet","Pantry cabinet","Cabinets","10","8144.3","8144.3","4x8","96","48","orientation_locked","3","58.9","41.1","0","true","https://woodcuttool.com/templates/pantry-cabinet-cut-list/"
"2026-07-21","woodcuttool-maxrects-v1","pantry-cabinet","Pantry cabinet","Cabinets","10","8144.3","8144.3","4x10","120","48","rotation_allowed","2","70.7","29.3","0","true","https://woodcuttool.com/templates/pantry-cabinet-cut-list/"
"2026-07-21","woodcuttool-maxrects-v1","pantry-cabinet","Pantry cabinet","Cabinets","10","8144.3","8144.3","4x10","120","48","orientation_locked","2","70.7","29.3","0","true","https://woodcuttool.com/templates/pantry-cabinet-cut-list/"
"2026-07-21","woodcuttool-maxrects-v1","pantry-cabinet","Pantry cabinet","Cabinets","10","8144.3","8144.3","5x10","120","60","rotation_allowed","2","56.6","43.4","0","true","https://woodcuttool.com/templates/pantry-cabinet-cut-list/"
"2026-07-21","woodcuttool-maxrects-v1","pantry-cabinet","Pantry cabinet","Cabinets","10","8144.3","8144.3","5x10","120","60","orientation_locked","2","56.6","43.4","0","true","https://woodcuttool.com/templates/pantry-cabinet-cut-list/"
"2026-07-21","woodcuttool-maxrects-v1","laundry-cabinet","Laundry room cabinet","Cabinets","7","5495.5","5495.5","5x5","60","60","rotation_allowed","3","50.9","49.1","0","true","https://woodcuttool.com/templates/laundry-room-cabinet-cut-list/"
"2026-07-21","woodcuttool-maxrects-v1","laundry-cabinet","Laundry room cabinet","Cabinets","7","5495.5","5495.5","5x5","60","60","orientation_locked","4","38.2","61.8","0","true","https://woodcuttool.com/templates/laundry-room-cabinet-cut-list/"
"2026-07-21","woodcuttool-maxrects-v1","laundry-cabinet","Laundry room cabinet","Cabinets","7","5495.5","5495.5","4x8","96","48","rotation_allowed","2","59.6","40.4","0","true","https://woodcuttool.com/templates/laundry-room-cabinet-cut-list/"
"2026-07-21","woodcuttool-maxrects-v1","laundry-cabinet","Laundry room cabinet","Cabinets","7","5495.5","5495.5","4x8","96","48","orientation_locked","2","59.6","40.4","0","true","https://woodcuttool.com/templates/laundry-room-cabinet-cut-list/"
"2026-07-21","woodcuttool-maxrects-v1","laundry-cabinet","Laundry room cabinet","Cabinets","7","5495.5","5495.5","4x10","120","48","rotation_allowed","2","47.7","52.3","0","true","https://woodcuttool.com/templates/laundry-room-cabinet-cut-list/"
"2026-07-21","woodcuttool-maxrects-v1","laundry-cabinet","Laundry room cabinet","Cabinets","7","5495.5","5495.5","4x10","120","48","orientation_locked","2","47.7","52.3","0","true","https://woodcuttool.com/templates/laundry-room-cabinet-cut-list/"
"2026-07-21","woodcuttool-maxrects-v1","laundry-cabinet","Laundry room cabinet","Cabinets","7","5495.5","5495.5","5x10","120","60","rotation_allowed","2","38.2","61.8","0","true","https://woodcuttool.com/templates/laundry-room-cabinet-cut-list/"
"2026-07-21","woodcuttool-maxrects-v1","laundry-cabinet","Laundry room cabinet","Cabinets","7","5495.5","5495.5","5x10","120","60","orientation_locked","2","38.2","61.8","0","true","https://woodcuttool.com/templates/laundry-room-cabinet-cut-list/"
"2026-07-21","woodcuttool-maxrects-v1","shop-cabinet","Shop storage cabinet","Cabinets","9","9357","3885","5x5","60","60","rotation_allowed","2","54","46","3","false","https://woodcuttool.com/templates/shop-storage-cabinet-cut-list/"
