"benchmark_version","method","pattern_slug","pattern_name","category","part_count","part_area_sq_in","kerf_in","rotation_allowed_sheets","yield_pct","source_url"
"2026-07-16","woodcuttool-maxrects-v1","twelve-inch-rips","Eight 12 x 48 shelves","Repeated shelves","8","4608","0","1","100","https://woodcuttool.com/learn/saw-kerf-explained/"
"2026-07-16","woodcuttool-maxrects-v1","twelve-inch-rips","Eight 12 x 48 shelves","Repeated shelves","8","4608","0.0625","2","50","https://woodcuttool.com/learn/saw-kerf-explained/"
"2026-07-16","woodcuttool-maxrects-v1","twelve-inch-rips","Eight 12 x 48 shelves","Repeated shelves","8","4608","0.09375","2","50","https://woodcuttool.com/learn/saw-kerf-explained/"
"2026-07-16","woodcuttool-maxrects-v1","twelve-inch-rips","Eight 12 x 48 shelves","Repeated shelves","8","4608","0.125","2","50","https://woodcuttool.com/learn/saw-kerf-explained/"
"2026-07-16","woodcuttool-maxrects-v1","twenty-four-inch-panels","Eight 24 x 24 panels","Square panels","8","4608","0","1","100","https://woodcuttool.com/learn/kerf-allowance-for-table-saw-and-track-saw/"
"2026-07-16","woodcuttool-maxrects-v1","twenty-four-inch-panels","Eight 24 x 24 panels","Square panels","8","4608","0.0625","3","33.3","https://woodcuttool.com/learn/kerf-allowance-for-table-saw-and-track-saw/"
"2026-07-16","woodcuttool-maxrects-v1","twenty-four-inch-panels","Eight 24 x 24 panels","Square panels","8","4608","0.09375","3","33.3","https://woodcuttool.com/learn/kerf-allowance-for-table-saw-and-track-saw/"
"2026-07-16","woodcuttool-maxrects-v1","twenty-four-inch-panels","Eight 24 x 24 panels","Square panels","8","4608","0.125","3","33.3","https://woodcuttool.com/learn/kerf-allowance-for-table-saw-and-track-saw/"
"2026-07-16","woodcuttool-maxrects-v1","half-sheet-panels","Four 48 x 24 panels","Half-sheet panels","4","4608","0","1","100","https://woodcuttool.com/templates/4x8-plywood-sheet/"
"2026-07-16","woodcuttool-maxrects-v1","half-sheet-panels","Four 48 x 24 panels","Half-sheet panels","4","4608","0.0625","2","50","https://woodcuttool.com/templates/4x8-plywood-sheet/"
"2026-07-16","woodcuttool-maxrects-v1","half-sheet-panels","Four 48 x 24 panels","Half-sheet panels","4","4608","0.09375","2","50","https://woodcuttool.com/templates/4x8-plywood-sheet/"
"2026-07-16","woodcuttool-maxrects-v1","half-sheet-panels","Four 48 x 24 panels","Half-sheet panels","4","4608","0.125","2","50","https://woodcuttool.com/templates/4x8-plywood-sheet/"
"2026-07-16","woodcuttool-maxrects-v1","cabinet-sides","Six 34.5 x 24 cabinet sides","Cabinet sides","6","4968","0","2","53.9","https://woodcuttool.com/learn/cabinet-box-cut-list-basics/"
"2026-07-16","woodcuttool-maxrects-v1","cabinet-sides","Six 34.5 x 24 cabinet sides","Cabinet sides","6","4968","0.0625","2","53.9","https://woodcuttool.com/learn/cabinet-box-cut-list-basics/"
"2026-07-16","woodcuttool-maxrects-v1","cabinet-sides","Six 34.5 x 24 cabinet sides","Cabinet sides","6","4968","0.09375","2","53.9","https://woodcuttool.com/learn/cabinet-box-cut-list-basics/"
"2026-07-16","woodcuttool-maxrects-v1","cabinet-sides","Six 34.5 x 24 cabinet sides","Cabinet sides","6","4968","0.125","2","53.9","https://woodcuttool.com/learn/cabinet-box-cut-list-basics/"
"2026-07-16","woodcuttool-maxrects-v1","sixteen-inch-shelves","Twelve 32 x 16 shelves","Repeated shelves","12","6144","0","2","66.7","https://woodcuttool.com/learn/table-saw-repeat-cut-workflow/"
"2026-07-16","woodcuttool-maxrects-v1","sixteen-inch-shelves","Twelve 32 x 16 shelves","Repeated shelves","12","6144","0.0625","3","44.4","https://woodcuttool.com/learn/table-saw-repeat-cut-workflow/"
"2026-07-16","woodcuttool-maxrects-v1","sixteen-inch-shelves","Twelve 32 x 16 shelves","Repeated shelves","12","6144","0.09375","3","44.4","https://woodcuttool.com/learn/table-saw-repeat-cut-workflow/"
"2026-07-16","woodcuttool-maxrects-v1","sixteen-inch-shelves","Twelve 32 x 16 shelves","Repeated shelves","12","6144","0.125","3","44.4","https://woodcuttool.com/learn/table-saw-repeat-cut-workflow/"
"2026-07-16","woodcuttool-maxrects-v1","drawer-bottoms","Twelve 24 x 18 drawer bottoms","Drawer parts","12","5184","0","2","56.3","https://woodcuttool.com/templates/drawer-box-cut-list/"
"2026-07-16","woodcuttool-maxrects-v1","drawer-bottoms","Twelve 24 x 18 drawer bottoms","Drawer parts","12","5184","0.0625","2","56.3","https://woodcuttool.com/templates/drawer-box-cut-list/"
"2026-07-16","woodcuttool-maxrects-v1","drawer-bottoms","Twelve 24 x 18 drawer bottoms","Drawer parts","12","5184","0.09375","2","56.3","https://woodcuttool.com/templates/drawer-box-cut-list/"
"2026-07-16","woodcuttool-maxrects-v1","drawer-bottoms","Twelve 24 x 18 drawer bottoms","Drawer parts","12","5184","0.125","2","56.3","https://woodcuttool.com/templates/drawer-box-cut-list/"
"2026-07-16","woodcuttool-maxrects-v1","narrow-cleats","Twenty 48 x 3 cleats","Narrow strips","20","2880","0","1","62.5","https://woodcuttool.com/templates/french-cleat-wall-cut-list/"
"2026-07-16","woodcuttool-maxrects-v1","narrow-cleats","Twenty 48 x 3 cleats","Narrow strips","20","2880","0.0625","1","62.5","https://woodcuttool.com/templates/french-cleat-wall-cut-list/"
"2026-07-16","woodcuttool-maxrects-v1","narrow-cleats","Twenty 48 x 3 cleats","Narrow strips","20","2880","0.09375","1","62.5","https://woodcuttool.com/templates/french-cleat-wall-cut-list/"
"2026-07-16","woodcuttool-maxrects-v1","narrow-cleats","Twenty 48 x 3 cleats","Narrow strips","20","2880","0.125","1","62.5","https://woodcuttool.com/templates/french-cleat-wall-cut-list/"
"2026-07-16","woodcuttool-maxrects-v1","bookcase-shelves","Ten 30 x 11.25 shelves","Bookcase shelves","10","3375","0","1","73.2","https://woodcuttool.com/templates/bookshelf-cut-list/"
"2026-07-16","woodcuttool-maxrects-v1","bookcase-shelves","Ten 30 x 11.25 shelves","Bookcase shelves","10","3375","0.0625","1","73.2","https://woodcuttool.com/templates/bookshelf-cut-list/"
"2026-07-16","woodcuttool-maxrects-v1","bookcase-shelves","Ten 30 x 11.25 shelves","Bookcase shelves","10","3375","0.09375","1","73.2","https://woodcuttool.com/templates/bookshelf-cut-list/"
"2026-07-16","woodcuttool-maxrects-v1","bookcase-shelves","Ten 30 x 11.25 shelves","Bookcase shelves","10","3375","0.125","1","73.2","https://woodcuttool.com/templates/bookshelf-cut-list/"
"2026-07-16","woodcuttool-maxrects-v1","door-panels","Six 30 x 16 door panels","Door panels","6","2880","0","1","62.5","https://woodcuttool.com/learn/cabinet-door-cut-list-planning/"
"2026-07-16","woodcuttool-maxrects-v1","door-panels","Six 30 x 16 door panels","Door panels","6","2880","0.0625","1","62.5","https://woodcuttool.com/learn/cabinet-door-cut-list-planning/"
"2026-07-16","woodcuttool-maxrects-v1","door-panels","Six 30 x 16 door panels","Door panels","6","2880","0.09375","1","62.5","https://woodcuttool.com/learn/cabinet-door-cut-list-planning/"
"2026-07-16","woodcuttool-maxrects-v1","door-panels","Six 30 x 16 door panels","Door panels","6","2880","0.125","1","62.5","https://woodcuttool.com/learn/cabinet-door-cut-list-planning/"
"2026-07-16","woodcuttool-maxrects-v1","small-cubby-parts","Twenty-four 18 x 12 cubby parts","Cubby parts","24","5184","0","2","56.3","https://woodcuttool.com/templates/cube-storage-cut-list/"
"2026-07-16","woodcuttool-maxrects-v1","small-cubby-parts","Twenty-four 18 x 12 cubby parts","Cubby parts","24","5184","0.0625","2","56.3","https://woodcuttool.com/templates/cube-storage-cut-list/"
"2026-07-16","woodcuttool-maxrects-v1","small-cubby-parts","Twenty-four 18 x 12 cubby parts","Cubby parts","24","5184","0.09375","2","56.3","https://woodcuttool.com/templates/cube-storage-cut-list/"
"2026-07-16","woodcuttool-maxrects-v1","small-cubby-parts","Twenty-four 18 x 12 cubby parts","Cubby parts","24","5184","0.125","2","56.3","https://woodcuttool.com/templates/cube-storage-cut-list/"
